,Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,0,51,no,,2015.72,,6,3,,1,1,1,male,,3,5,research director,3,,16280.83,42330.17,7,y,no,13,3.0,3,full time,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,,,yes
1,1,52,no,,2063.39,,1,4,life sciences,1,2,3,male,,2,5,manager,3,,,43331.17,0,y,,14,3.0,1,,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,,yes
2,2,42,no,travel_rarely,1984.25,research & development,4,2,technical degree,1,3,3,male,,3,5,manager,4,married,,41669.33,1,y,no,11,3.0,4,,0,22.0,3,,22,,11,15,,1981,192320.0,manager  -  research & development,,yes
3,3,47,no,travel_rarely,1771.4,,2,4,medical,1,4,1,female,,3,4,research director,3,married,14307.5,37199.5,3,y,,19,3.0,2,full time,2,,2,,20,,5,6,14307.5,1976,171690.0,,,no
4,4,46,no,,1582.77,,3,3,technical degree,1,5,1,female,,4,4,sales executive,1,divorced,12783.92,33238.2,2,y,no,12,3.0,4,,1,,5,3.0,19,,2,8,12783.92,1977,,,,no
5,5,48,no,,1771.92,research & development,22,3,medical,1,6,4,female,,3,4,manager,4,,14311.67,37210.33,3,y,no,11,3.0,2,,1,,3,3.0,22,,4,7,14311.67,1975,,manager  -  research & development,,yes
6,6,59,no,,1032.49,,25,3,life sciences,1,7,1,female,,3,3,sales executive,1,,8339.32,21682.23,7,y,,11,3.0,4,part time,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,,yes
7,7,42,no,travel_rarely,556.26,,1,1,,1,8,2,male,69.53208262471655,3,2,sales executive,3,married,,11681.39,1,y,no,25,4.0,3,part time,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,,no
8,8,41,no,,1712.18,,2,5,,1,9,2,female,,3,4,manager,1,married,13829.17,35955.83,7,y,no,16,3.0,2,full time,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,,yes
9,9,41,no,travel_frequently,1973.98,,9,3,,1,10,1,male,,3,5,research director,3,,15943.72,41453.67,2,y,no,17,3.0,2,,1,21.0,2,4.0,18,,0,11,15943.72,1982,,,,no
10,10,41,no,non-travel,2060.71,,7,1,,1,11,2,female,,1,5,research director,3,,16644.17,43274.83,1,y,no,22,4.0,2,full time,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,,,no
11,11,56,no,travel_rarely,1382.75,,23,3,life sciences,1,12,4,male,172.84325396825398,3,4,manufacturing director,2,married,,29037.67,4,y,yes,12,,1,full time,1,33.0,0,3.0,19,,15,9,,1967,134020.0,,,no
12,12,38,no,,1362.52,,10,3,medical,1,13,2,female,,1,3,research director,3,married,,28613.0,3,y,no,12,3.0,1,full time,1,,3,3.0,18,,1,11,,1985,132060.0,,,yes
13,13,41,yes,travel_rarely,2016.55,,12,3,,1,14,2,female,,3,5,research director,3,married,,42347.5,1,y,no,12,3.0,4,full time,0,,0,3.0,22,,15,8,,1982,195450.0,,,no
14,14,55,no,,1973.98,,14,4,medical,1,15,3,male,,4,5,research director,2,single,15943.72,41453.67,8,y,no,11,3.0,4,,0,,3,3.0,24,,2,15,15943.72,1968,,,,yes
15,15,40,no,travel_rarely,1861.37,,2,4,,1,16,3,female,,3,5,manager,3,,15034.17,39088.83,0,y,no,14,3.0,4,full time,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,,,no
16,16,58,yes,travel_rarely,1985.7,,2,4,,1,17,4,male,,3,5,research director,2,single,16038.33,41699.67,7,y,yes,12,3.0,4,full time,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,,,no
17,17,46,no,travel_rarely,1582.77,,2,3,,1,18,3,female,,3,4,manager,1,,12783.92,33238.2,8,y,,23,4.0,1,,0,28.0,2,3.0,26,,15,9,12783.92,1977,,,,no
18,18,35,no,,556.26,,13,5,life sciences,1,19,2,male,,4,2,research scientist,1,married,4492.84,11681.39,1,y,,11,3.0,4,,0,,2,3.0,16,,1,10,4492.84,1988,,,,no
19,19,40,no,travel_rarely,1032.49,,15,3,life sciences,1,20,1,female,,2,3,manufacturing director,3,,8339.32,21682.23,1,y,,13,3.0,4,,2,18.0,2,,18,,14,12,8339.32,1983,,,,yes
20,20,45,no,non-travel,1108.92,research & development,1,1,,1,21,3,male,,2,3,healthcare representative,3,,8956.67,23287.33,3,y,,23,4.0,4,full time,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0,healthcare representative  -  research & development,,no
21,21,33,no,,1032.49,,1,2,life sciences,1,22,1,female,,3,3,research director,4,single,,21682.23,1,y,yes,12,3.0,3,part time,0,15.0,1,3.0,15,,8,12,,1990,100071.84,,,yes
22,22,36,no,,1032.49,,8,3,,1,23,3,female,,3,3,healthcare representative,3,divorced,,21682.23,1,y,,13,,2,,3,17.0,2,3.0,17,,12,8,,1987,100071.84,,,yes
23,23,47,no,,1728.38,,2,2,other,1,24,3,female,216.0476190476191,3,4,manager,4,married,,36296.0,1,y,,11,3.0,3,full time,1,,3,2.0,26,,3,0,,1976,167520.0,,,no
24,24,36,no,travel_rarely,639.79,,42,2,life sciences,1,25,4,male,79.97321428571429,3,2,sales executive,4,,5167.5,13435.5,1,y,,14,3.0,4,full time,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,,,yes
25,25,35,no,,1032.49,,9,3,life sciences,1,26,4,female,129.06091077207583,2,3,manufacturing director,3,married,,21682.23,1,y,yes,20,4.0,2,part time,1,17.0,2,3.0,17,,5,15,,1988,100071.84,,,no
26,26,52,yes,,2047.5,,2,1,,1,27,1,female,,1,5,manager,4,married,,42997.5,1,y,no,15,3.0,4,full time,1,33.0,3,3.0,32,,6,9,,1971,198450.0,,,yes
27,27,36,no,,556.26,,2,4,life sciences,1,28,3,female,,3,2,manufacturing director,2,single,4492.84,11681.39,9,y,yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,,,no
28,28,33,no,travel_rarely,556.26,,28,4,life sciences,1,29,2,male,69.53208262471655,3,2,laboratory technician,3,married,4492.84,11681.39,1,y,,12,3.0,2,part time,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,,,yes
29,29,34,no,non-travel,412.8,sales,10,3,life sciences,1,30,4,male,,3,2,sales executive,3,,3334.17,8668.83,1,y,yes,14,3.0,3,part time,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0,sales executive  -  sales,,yes
30,30,41,no,,1077.87,sales,37,1,,1,31,3,female,,3,3,sales executive,3,divorced,8705.83,22635.17,0,y,,13,3.0,4,full time,1,,3,4.0,22,,13,5,8705.83,1982,104470.0,sales executive  -  sales,,yes
31,31,47,no,,1032.49,research & development,25,3,medical,1,32,1,male,,3,3,healthcare representative,3,,8339.32,21682.23,2,y,,23,4.0,2,,0,25.0,3,3.0,17,,12,11,8339.32,1976,,healthcare representative  -  research & development,,yes
32,32,53,no,travel_rarely,1973.98,,5,3,,1,33,3,female,246.74801587301585,3,5,manager,3,,15943.72,41453.67,4,y,,11,3.0,4,full time,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,,,yes
33,33,35,no,,556.26,,1,4,marketing,1,34,3,male,69.53208262471655,2,2,sales executive,1,single,4492.84,11681.39,0,y,no,14,,2,part time,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,,,no
34,34,34,no,travel_rarely,556.26,,6,4,other,1,35,1,female,,3,2,research scientist,3,single,4492.84,11681.39,1,y,,14,3.0,3,,0,16.0,3,3.0,16,,2,10,4492.84,1989,,,,yes
35,35,46,no,travel_rarely,1032.49,,1,2,,1,36,2,female,,3,3,sales executive,1,divorced,8339.32,21682.23,1,y,no,25,4.0,3,part time,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,,,yes
36,36,43,no,,1657.4,,16,3,,1,37,4,female,207.1746031746032,3,4,manager,4,married,,34805.33,5,y,,22,4.0,3,full time,1,22.0,3,3.0,17,,1,9,,1980,160640.0,,,yes
37,37,36,no,,331.19,research & development,6,3,life sciences,1,38,4,male,,3,1,laboratory technician,4,married,2675.0,6955.0,0,y,,11,3.0,3,full time,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0,laboratory technician  -  research & development,,yes
38,38,60,no,travel_frequently,1059.19,,28,3,,1,39,3,female,,2,3,sales executive,1,married,8555.0,22243.0,4,y,no,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,,,yes
39,39,40,no,travel_frequently,1080.75,,5,4,,1,40,4,male,,2,3,sales executive,1,married,8729.17,22695.83,5,y,yes,21,4.0,3,full time,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,,,no
40,40,32,no,travel_rarely,635.76,,4,3,,1,41,3,female,,2,2,manufacturing director,3,married,,13351.0,1,y,no,12,3.0,3,full time,1,14.0,3,3.0,14,,6,8,,1991,61620.0,,,no
41,41,41,no,travel_rarely,487.09,,35,3,,1,42,3,male,60.8859126984127,3,1,laboratory technician,1,single,3934.17,10228.83,2,y,yes,13,,3,full time,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,,,yes
42,42,53,no,,1582.77,,2,2,medical,1,43,3,male,,3,4,manager,3,divorced,12783.92,33238.2,6,y,no,13,3.0,3,full time,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,,,no
43,43,36,yes,travel_rarely,290.04,,16,4,,1,44,3,female,36.25443871706758,4,1,laboratory technician,1,single,,6090.75,1,y,,16,3.0,3,part time,0,18.0,1,3.0,17,,15,14,,1987,28111.13,,,yes
44,44,46,no,,476.15,,8,4,life sciences,1,45,4,female,,2,2,research scientist,1,divorced,3845.83,9999.17,8,y,yes,23,4.0,1,part time,3,,2,3.0,16,,1,7,3845.83,1977,46150.0,,,no
45,45,38,no,travel_rarely,556.26,,1,4,,1,46,4,male,,3,2,sales executive,2,married,4492.84,11681.39,0,y,no,15,3.0,1,,2,16.0,3,,15,,5,8,4492.84,1985,53914.11,,,yes
46,46,51,no,,1032.49,,1,4,,1,47,1,female,,2,3,healthcare representative,1,single,8339.32,21682.23,3,y,,20,4.0,3,part time,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,,,yes
47,47,43,no,,1749.74,,26,2,,1,48,3,male,,3,4,manager,4,married,14132.5,36744.5,1,y,yes,12,3.0,4,full time,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,,,yes
48,48,37,no,,290.04,,1,3,life sciences,1,49,4,female,,3,1,research scientist,4,single,,6090.75,1,y,no,12,3.0,2,part time,0,,3,3.0,17,,5,7,,1986,28111.13,,,yes
49,49,32,no,travel_rarely,556.26,,8,2,technical degree,1,50,3,female,,2,2,sales executive,2,married,,11681.39,1,y,yes,11,3.0,4,part time,0,,2,3.0,13,12.0,11,9,,1991,53914.11,,,yes
50,50,38,no,,1032.49,,1,3,,1,51,4,female,,3,3,research director,1,married,8339.32,21682.23,1,y,,13,3.0,2,part time,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,,,no
51,51,46,no,,1582.77,,3,3,life sciences,1,52,3,female,,3,4,manager,2,,12783.92,33238.2,8,y,no,12,3.0,4,full time,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,,,yes
52,52,35,yes,travel_rarely,1063.32,,10,3,medical,1,53,4,male,,2,3,sales executive,1,married,8588.33,22329.67,9,y,,17,3.0,3,,0,15.0,3,,13,,6,0,8588.33,1988,,,,no
53,53,43,no,,1973.98,,6,3,medical,1,54,1,female,,2,5,manager,3,married,15943.72,41453.67,7,y,no,13,3.0,4,,0,21.0,2,3.0,16,,6,14,15943.72,1980,,,,yes
54,54,56,no,non-travel,556.26,,1,4,life sciences,1,55,3,male,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,y,no,21,,1,,1,,2,2.0,13,,1,9,4492.84,1967,,,,yes
55,55,36,no,non-travel,557.76,,15,4,marketing,1,56,4,male,,1,2,sales executive,4,divorced,4505.0,11713.0,1,y,no,24,4.0,1,full time,1,,4,2.0,15,,11,11,4505.0,1987,54060.0,,,yes
56,56,38,no,,556.26,,6,3,medical,1,57,2,female,,1,2,research scientist,4,,,11681.39,7,y,,12,3.0,4,part time,3,17.0,3,3.0,13,,1,9,,1985,53914.11,,,yes
57,57,49,no,,556.26,,26,4,medical,1,58,3,female,69.53208262471655,3,2,manufacturing director,1,,,11681.39,1,y,no,14,3.0,3,part time,0,16.0,2,2.0,15,,5,11,,1974,53914.11,,,no
58,58,39,no,travel_rarely,608.94,,4,4,life sciences,1,59,4,female,,2,2,sales executive,3,married,4918.33,12787.67,4,y,,14,3.0,3,full time,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,,,yes
59,59,40,no,,1119.96,,4,4,,1,60,3,male,139.9950396825397,2,3,sales executive,4,married,,23519.17,7,y,no,11,,1,full time,1,15.0,2,2.0,12,,2,11,,1983,108550.0,,,yes
60,60,36,no,,610.17,,5,2,,1,61,4,male,,3,2,laboratory technician,2,single,4928.33,12813.67,8,y,no,16,3.0,4,full time,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,,,yes
61,61,37,no,,556.26,,25,5,,1,62,2,female,,3,2,research scientist,3,married,,11681.39,3,y,yes,15,3.0,1,,2,15.0,2,3.0,13,,10,7,,1986,53914.11,,,no
