,age,attrition,businesstravel,dailyrate,department,education,educationfield,employeecount,employeenumber,distancefromhome(miles)
0,51,No,,2015.72,,3,,1,1,6
1,52,No,,2063.39,,4,life sciences,1,2,1
2,42,No,travel_rarely,1984.25,research & development,2,technical degree,1,3,4
3,47,No,travel_rarely,1771.4,,4,medical,1,4,2
4,46,No,,1582.77,,3,technical degree,1,5,3
5,48,No,,1771.92,research & development,3,medical,1,6,22
6,59,No,,1032.49,,3,life sciences,1,7,25
7,42,No,travel_rarely,556.26,,1,,1,8,1
8,41,No,,1712.18,,5,,1,9,2
9,41,No,travel_frequently,1973.98,,3,,1,10,9
10,41,No,non-travel,2060.71,,1,,1,11,7
11,56,No,travel_rarely,1382.75,,3,life sciences,1,12,23
12,38,No,,1362.52,,3,medical,1,13,10
13,41,Yes,travel_rarely,2016.55,,3,,1,14,12
14,55,No,,1973.98,,4,medical,1,15,14
15,40,No,travel_rarely,1861.37,,4,,1,16,2
16,58,Yes,travel_rarely,1985.7,,4,,1,17,2
17,46,No,travel_rarely,1582.77,,3,,1,18,2
18,35,No,,556.26,,5,life sciences,1,19,13
19,40,No,travel_rarely,1032.49,,3,life sciences,1,20,15
20,45,No,non-travel,1108.92,research & development,1,,1,21,1
21,33,No,,1032.49,,2,life sciences,1,22,1
22,36,No,,1032.49,,3,,1,23,8
23,47,No,,1728.38,,2,other,1,24,2
24,36,No,travel_rarely,639.79,,2,life sciences,1,25,42
25,35,No,,1032.49,,3,life sciences,1,26,9
26,52,Yes,,2047.5,,1,,1,27,2
27,36,No,,556.26,,4,life sciences,1,28,2
28,33,No,travel_rarely,556.26,,4,life sciences,1,29,28
29,34,No,non-travel,412.8,sales,3,life sciences,1,30,10
30,41,No,,1077.87,sales,1,,1,31,37
31,47,No,,1032.49,research & development,3,medical,1,32,25
32,53,No,travel_rarely,1973.98,,3,,1,33,5
33,35,No,,556.26,,4,marketing,1,34,1
34,34,No,travel_rarely,556.26,,4,other,1,35,6
35,46,No,travel_rarely,1032.49,,2,,1,36,1
36,43,No,,1657.4,,3,,1,37,16
37,36,No,,331.19,research & development,3,life sciences,1,38,6
38,60,No,travel_frequently,1059.19,,3,,1,39,28
39,40,No,travel_frequently,1080.75,,4,,1,40,5
40,32,No,travel_rarely,635.76,,3,,1,41,4
41,41,No,travel_rarely,487.09,,3,,1,42,35
42,53,No,,1582.77,,2,medical,1,43,2
43,36,Yes,travel_rarely,290.04,,4,,1,44,16
44,46,No,,476.15,,4,life sciences,1,45,8
45,38,No,travel_rarely,556.26,,4,,1,46,1
46,51,No,,1032.49,,4,,1,47,1
47,43,No,,1749.74,,2,,1,48,26
48,37,No,,290.04,,3,life sciences,1,49,1
49,32,No,travel_rarely,556.26,,2,technical degree,1,50,8
50,38,No,,1032.49,,3,,1,51,1
51,46,No,,1582.77,,3,life sciences,1,52,3
52,35,Yes,travel_rarely,1063.32,,3,medical,1,53,10
53,43,No,,1973.98,,3,medical,1,54,6
54,56,No,non-travel,556.26,,4,life sciences,1,55,1
55,36,No,non-travel,557.76,,4,marketing,1,56,15
56,38,No,,556.26,,3,medical,1,57,6
57,49,No,,556.26,,4,medical,1,58,26
58,39,No,travel_rarely,608.94,,4,life sciences,1,59,4
59,40,No,,1119.96,,4,,1,60,4
60,36,No,,610.17,,2,,1,61,5
61,37,No,,556.26,,5,,1,62,25
62,35,No,,685.7,,4,,1,63,6
63,33,No,travel_frequently,556.26,,3,life sciences,1,64,6
64,50,No,travel_rarely,1441.66,research & development,3,,1,65,24
65,48,No,travel_rarely,1032.49,,4,,1,66,4
66,44,No,travel_rarely,1374.29,sales,3,,1,67,28
67,44,No,travel_rarely,556.26,,4,,1,68,29
68,40,No,,556.26,,1,,1,69,25
69,34,No,travel_rarely,689.93,,4,,1,70,2
70,35,No,non-travel,556.26,research & development,4,,1,71,8
71,50,No,,1032.49,,5,life sciences,1,72,17
72,49,No,,1582.77,,1,life sciences,1,73,6
73,38,No,travel_frequently,488.53,,3,life sciences,1,74,1
74,33,No,,290.04,,3,,1,75,21
75,47,No,travel_rarely,1032.49,,3,life sciences,1,76,4
76,38,No,,556.26,research & development,3,,1,77,8
