environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate
1,male,251.97,3,5,research director,3,,16280.83,42330.17
3,male,257.92,2,5,manager,3,,16665.83,43331.17
3,male,248.03,3,5,manager,4,married,16026.67,41669.33
1,female,221.43,3,4,research director,3,married,14307.5,37199.5
1,female,197.85,4,4,sales executive,1,divorced,12783.92,33238.2
4,female,221.49,3,4,manager,4,,14311.67,37210.33
1,female,129.06,3,3,sales executive,1,,8339.32,21682.23
2,male,69.53,3,2,sales executive,3,married,4492.84,11681.39
2,female,214.02,3,4,manager,1,married,13829.17,35955.83
1,male,246.75,3,5,research director,3,,15943.72,41453.67
2,female,257.59,1,5,research director,3,,16644.17,43274.83
4,male,172.84,3,4,manufacturing director,2,married,11168.33,29037.67
2,female,170.32,1,3,research director,3,married,11005.0,28613.0
2,female,252.07,3,5,research director,3,married,16287.5,42347.5
3,male,246.75,4,5,research director,2,single,15943.72,41453.67
3,female,232.67,3,5,manager,3,,15034.17,39088.83
4,male,248.21,3,5,research director,2,single,16038.33,41699.67
3,female,197.85,3,4,manager,1,,12783.92,33238.2
2,male,69.53,4,2,research scientist,1,married,4492.84,11681.39
1,female,129.06,2,3,manufacturing director,3,,8339.32,21682.23
3,male,138.62,2,3,healthcare representative,3,,8956.67,23287.33
1,female,129.06,3,3,research director,4,single,8339.32,21682.23
3,female,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23
3,female,216.05,3,4,manager,4,married,13960.0,36296.0
4,male,79.97,3,2,sales executive,4,,5167.5,13435.5
4,female,129.06,2,3,manufacturing director,3,married,8339.32,21682.23
1,female,255.94,1,5,manager,4,married,16537.5,42997.5
3,female,69.53,3,2,manufacturing director,2,single,4492.84,11681.39
2,male,69.53,3,2,laboratory technician,3,married,4492.84,11681.39
4,male,51.6,3,2,sales executive,3,,3334.17,8668.83
3,female,134.73,3,3,sales executive,3,divorced,8705.83,22635.17
1,male,129.06,3,3,healthcare representative,3,,8339.32,21682.23
3,female,246.75,3,5,manager,3,,15943.72,41453.67
3,male,69.53,2,2,sales executive,1,single,4492.84,11681.39
1,female,69.53,3,2,research scientist,3,single,4492.84,11681.39
2,female,129.06,3,3,sales executive,1,divorced,8339.32,21682.23
4,female,207.17,3,4,manager,4,married,13386.67,34805.33
4,male,41.4,3,1,laboratory technician,4,married,2675.0,6955.0
3,female,132.4,2,3,sales executive,1,married,8555.0,22243.0
4,male,135.09,2,3,sales executive,1,married,8729.17,22695.83
3,female,79.47,2,2,manufacturing director,3,married,5135.0,13351.0
3,male,60.89,3,1,laboratory technician,1,single,3934.17,10228.83
3,male,197.85,3,4,manager,3,divorced,12783.92,33238.2
3,female,36.25,4,1,laboratory technician,1,single,2342.59,6090.75
4,female,59.52,2,2,research scientist,1,divorced,3845.83,9999.17
4,male,69.53,3,2,sales executive,2,married,4492.84,11681.39
1,female,129.06,2,3,healthcare representative,1,single,8339.32,21682.23
3,male,218.72,3,4,manager,4,married,14132.5,36744.5
4,female,36.25,3,1,research scientist,4,single,2342.59,6090.75
3,female,69.53,2,2,sales executive,2,married,4492.84,11681.39
4,female,129.06,3,3,research director,1,married,8339.32,21682.23
3,female,197.85,3,4,manager,2,,12783.92,33238.2
4,male,132.91,2,3,sales executive,1,married,8588.33,22329.67
1,female,246.75,2,5,manager,3,married,15943.72,41453.67
3,male,69.53,3,2,healthcare representative,3,divorced,4492.84,11681.39
4,male,69.72,1,2,sales executive,4,divorced,4505.0,11713.0
2,female,69.53,1,2,research scientist,4,,4492.84,11681.39
3,female,69.53,3,2,manufacturing director,1,,4492.84,11681.39
4,female,76.12,2,2,sales executive,3,married,4918.33,12787.67
3,male,140.0,2,3,sales executive,4,married,9045.83,23519.17
4,male,76.27,3,2,laboratory technician,2,single,4928.33,12813.67
2,female,69.53,3,2,research scientist,3,married,4492.84,11681.39
2,male,85.71,1,2,research scientist,4,,5538.33,14399.67
3,male,69.53,3,2,healthcare representative,4,divorced,4492.84,11681.39
4,male,180.21,3,4,manufacturing director,3,married,11644.17,30274.83
3,male,129.06,2,3,healthcare representative,3,single,8339.32,21682.23
4,female,171.79,4,4,sales executive,4,married,11100.0,28860.0
4,male,69.53,3,2,research scientist,4,single,4492.84,11681.39
2,female,69.53,4,2,healthcare representative,3,,4492.84,11681.39
3,female,86.24,3,2,healthcare representative,4,single,5572.5,14488.5
3,female,69.53,3,2,healthcare representative,3,,4492.84,11681.39
4,female,129.06,2,3,research director,1,,8339.32,21682.23
3,female,197.85,2,4,healthcare representative,3,,12783.92,33238.2
4,male,61.07,3,2,research scientist,4,,3945.83,10259.17
2,male,36.25,4,1,laboratory technician,2,,2342.59,6090.75
3,female,129.06,2,3,manufacturing director,2,divorced,8339.32,21682.23
4,female,69.53,2,2,research scientist,2,divorced,4492.84,11681.39
3,female,129.06,4,3,research director,4,,8339.32,21682.23
3,male,69.53,2,2,healthcare representative,4,married,4492.84,11681.39
4,male,178.9,3,4,sales executive,3,single,11560.0,30056.0
3,female,129.06,2,3,manager,1,single,8339.32,21682.23
4,female,129.06,3,3,healthcare representative,4,married,8339.32,21682.23
1,male,129.06,3,3,sales executive,3,divorced,8339.32,21682.23
2,female,129.06,3,3,sales executive,4,married,8339.32,21682.23
4,male,245.62,3,5,manager,1,single,15870.83,41264.17
4,male,206.54,3,4,manager,2,,13345.83,34699.17
