,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,51,no,,2015.72,,6,3,,1,1,1,male,,3,5,research director,3,,16280.83,42330.17,7,y,no,13,3,3,full time,0,,5,3,20,,15,15,16280.83,1972,195370.00,,,yes
1,52,no,,2063.39,,1,4,life sciences,1,2,3,male,,2,5,manager,3,,,43331.17,0,y,,14,3,1,,1,34,5,3,33,,11,9,,1971,199990.00,,,yes
2,42,no,travel_rarely,1984.25,research & development,4,2,technical degree,1,3,3,male,,3,5,manager,4,married,,41669.33,1,y,no,11,3,4,,0,22,3,,22,,11,15,,1981,192320.00,manager  -  research & development,,yes
3,47,no,travel_rarely,1771.4,,2,4,medical,1,4,1,female,,3,4,research director,3,married,14307.5,37199.5,3,y,,19,3,2,full time,2,,2,,20,,5,6,14307.50,1976,171690.00,,,no
4,46,no,,1582.77,,3,3,technical degree,1,5,1,female,,4,4,sales executive,1,divorced,12783.92,33238.2,2,y,no,12,3,4,,1,,5,3,19,,2,8,12783.92,1977,,,,no
5,48,no,,1771.92,research & development,22,3,medical,1,6,4,female,,3,4,manager,4,,14311.67,37210.33,3,y,no,11,3,2,,1,,3,3,22,,4,7,14311.67,1975,,manager  -  research & development,,yes
6,59,no,,1032.49,,25,3,life sciences,1,7,1,female,,3,3,sales executive,1,,8339.32,21682.23,7,y,,11,3,4,part time,0,28,3,2,21,,7,9,8339.32,1964,100071.84,,,yes
7,42,no,travel_rarely,556.26,,1,1,,1,8,2,male,69.53208262471655,3,2,sales executive,3,married,,11681.39,1,y,no,25,4,3,part time,0,20,3,3,20,,11,6,,1981,53914.11,,,no
8,41,no,,1712.18,,2,5,,1,9,2,female,,3,4,manager,1,married,13829.17,35955.83,7,y,no,16,3,2,full time,1,22,2,3,18,,11,8,13829.17,1982,165950.00,,,yes
9,41,no,travel_frequently,1973.98,,9,3,,1,10,1,male,,3,5,research director,3,,15943.72,41453.67,2,y,no,17,3,2,,1,21,2,4,18,,0,11,15943.72,1982,,,,no
10,41,no,non-travel,2060.71,,7,1,,1,11,2,female,,1,5,research director,3,,16644.17,43274.83,1,y,no,22,4,2,full time,2,,3,3,21,,5,10,16644.17,1982,199730.00,,,no
11,56,no,travel_rarely,1382.75,,23,3,life sciences,1,12,4,male,172.84325396825398,3,4,manufacturing director,2,married,,29037.67,4,y,yes,12,,1,full time,1,33,0,3,19,,15,9,,1967,134020.00,,,no
12,38,no,,1362.52,,10,3,medical,1,13,2,female,,1,3,research director,3,married,,28613.0,3,y,no,12,3,1,full time,1,,3,3,18,,1,11,,1985,132060.00,,,yes
13,41,yes,travel_rarely,2016.55,,12,3,,1,14,2,female,,3,5,research director,3,married,,42347.5,1,y,no,12,3,4,full time,0,,0,3,22,,15,8,,1982,195450.00,,,no
14,55,no,,1973.98,,14,4,medical,1,15,3,male,,4,5,research director,2,single,15943.72,41453.67,8,y,no,11,3,4,,0,,3,3,24,,2,15,15943.72,1968,,,,yes
15,40,no,travel_rarely,1861.37,,2,4,,1,16,3,female,,3,5,manager,3,,15034.17,39088.83,0,y,no,14,3,4,full time,0,,2,3,20,,1,12,15034.17,1983,180410.00,,,no
16,58,yes,travel_rarely,1985.7,,2,4,,1,17,4,male,,3,5,research director,2,single,16038.33,41699.67,7,y,yes,12,3,4,full time,0,40,2,3,31,,13,8,16038.33,1965,192460.00,,,no
17,46,no,travel_rarely,1582.77,,2,3,,1,18,3,female,,3,4,manager,1,,12783.92,33238.2,8,y,,23,4,1,,0,28,2,3,26,,15,9,12783.92,1977,,,,no
18,35,no,,556.26,,13,5,life sciences,1,19,2,male,,4,2,research scientist,1,married,4492.84,11681.39,1,y,,11,3,4,,0,,2,3,16,,1,10,4492.84,1988,,,,no
