age,attrition,businesstravel,dailyrate,department,education,educationfield,employeecount,employeenumber,distancefromhome(miles),environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
51,no,,2015.72,,3,,1,1,6,1,male,251.97,3,5,research director,3,,16280.83,42330.17,7,y,no,13,3.0,3,fulltime,0,11.359610274579271,5,3.0,20,,15,15,16280.83,1972,195370.0,,,yes
52,no,,2063.39,,4,life sciences,1,2,1,3,male,257.92,2,5,manager,3,,16665.83,43331.17,0,y,no,14,3.0,1,parttime,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,,yes
42,no,travel_rarely,1984.25,research & development,2,technical degree,1,3,4,3,male,248.03,3,5,manager,4,married,16026.67,41669.33,1,y,no,11,3.0,4,parttime,0,22.0,3,3.0,22,,11,15,,1981,192320.0,manager  -  research & development,,yes
47,no,travel_rarely,1771.4,,4,medical,1,4,2,1,female,221.43,3,4,research director,3,married,14307.5,37199.5,3,y,no,19,3.0,2,fulltime,2,11.359610274579271,2,3.0,20,,5,6,14307.5,1976,171690.0,,,no
46,no,,1582.77,,3,technical degree,1,5,3,1,female,197.85,4,4,sales executive,1,divorced,12783.92,33238.2,2,y,no,12,3.0,4,parttime,1,11.359610274579271,5,3.0,19,,2,8,12783.92,1977,,,,no
48,no,,1771.92,research & development,3,medical,1,6,22,4,female,221.49,3,4,manager,4,,14311.67,37210.33,3,y,no,11,3.0,2,parttime,1,11.359610274579271,3,3.0,22,,4,7,14311.67,1975,,manager  -  research & development,,yes
59,no,,1032.49,,3,life sciences,1,7,25,1,female,129.06,3,3,sales executive,1,,8339.32,21682.23,7,y,no,11,3.0,4,parttime,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,,yes
42,no,travel_rarely,556.26,,1,,1,8,1,2,male,69.53,3,2,sales executive,3,married,4492.84,11681.39,1,y,no,25,4.0,3,parttime,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,,no
41,no,,1712.18,,5,,1,9,2,2,female,214.02,3,4,manager,1,married,13829.17,35955.83,7,y,no,16,3.0,2,fulltime,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,,yes
41,no,travel_frequently,1973.98,,3,,1,10,9,1,male,246.75,3,5,research director,3,,15943.72,41453.67,2,y,no,17,3.0,2,parttime,1,21.0,2,4.0,18,,0,11,15943.72,1982,,,,no
41,no,non-travel,2060.71,,1,,1,11,7,2,female,257.59,1,5,research director,3,,16644.17,43274.83,1,y,no,22,4.0,2,fulltime,2,11.359610274579271,3,3.0,21,,5,10,16644.17,1982,199730.0,,,no
56,no,travel_rarely,1382.75,,3,life sciences,1,12,23,4,male,172.84,3,4,manufacturing director,2,married,11168.33,29037.67,4,y,yes,12,,1,fulltime,1,33.0,0,3.0,19,,15,9,,1967,134020.0,,,no
38,no,,1362.52,,3,medical,1,13,10,2,female,170.32,1,3,research director,3,married,11005.0,28613.0,3,y,no,12,3.0,1,fulltime,1,11.359610274579271,3,3.0,18,,1,11,,1985,132060.0,,,yes
41,yes,travel_rarely,2016.55,,3,,1,14,12,2,female,252.07,3,5,research director,3,married,16287.5,42347.5,1,y,no,12,3.0,4,fulltime,0,11.359610274579271,0,3.0,22,,15,8,,1982,195450.0,,,no
55,no,,1973.98,,4,medical,1,15,14,3,male,246.75,4,5,research director,2,single,15943.72,41453.67,8,y,no,11,3.0,4,parttime,0,11.359610274579271,3,3.0,24,,2,15,15943.72,1968,,,,yes
40,no,travel_rarely,1861.37,,4,,1,16,2,3,female,232.67,3,5,manager,3,,15034.17,39088.83,0,y,no,14,3.0,4,fulltime,0,11.359610274579271,2,3.0,20,,1,12,15034.17,1983,180410.0,,,no
58,yes,travel_rarely,1985.7,,4,,1,17,2,4,male,248.21,3,5,research director,2,single,16038.33,41699.67,7,y,yes,12,3.0,4,fulltime,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,,,no
46,no,travel_rarely,1582.77,,3,,1,18,2,3,female,197.85,3,4,manager,1,,12783.92,33238.2,8,y,no,23,4.0,1,parttime,0,28.0,2,3.0,26,,15,9,12783.92,1977,,,,no
35,no,,556.26,,5,life sciences,1,19,13,2,male,69.53,4,2,research scientist,1,married,4492.84,11681.39,1,y,no,11,3.0,4,parttime,0,11.359610274579271,2,3.0,16,,1,10,4492.84,1988,,,,no
40,no,travel_rarely,1032.49,,3,life sciences,1,20,15,1,female,129.06,2,3,manufacturing director,3,,8339.32,21682.23,1,y,no,13,3.0,4,parttime,2,18.0,2,3.0,18,,14,12,8339.32,1983,,,,yes
45,no,non-travel,1108.92,research & development,1,,1,21,1,3,male,138.62,2,3,healthcare representative,3,,8956.67,23287.33,3,y,no,23,4.0,4,fulltime,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0,healthcare representative  -  research & development,,no
33,no,,1032.49,,2,life sciences,1,22,1,1,female,129.06,3,3,research director,4,single,8339.32,21682.23,1,y,yes,12,3.0,3,parttime,0,15.0,1,3.0,15,,8,12,,1990,100071.84,,,yes
36,no,,1032.49,,3,,1,23,8,3,female,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,y,no,13,,2,parttime,3,17.0,2,3.0,17,,12,8,,1987,100071.84,,,yes
47,no,,1728.38,,2,other,1,24,2,3,female,216.05,3,4,manager,4,married,13960.0,36296.0,1,y,no,11,3.0,3,fulltime,1,11.359610274579271,3,2.0,26,,3,0,,1976,167520.0,,,no
36,no,travel_rarely,639.79,,2,life sciences,1,25,42,4,male,79.97,3,2,sales executive,4,,5167.5,13435.5,1,y,no,14,3.0,4,fulltime,1,18.0,1,3.0,18,,4,11,5167.5,1987,62010.0,,,yes
35,no,,1032.49,,3,life sciences,1,26,9,4,female,129.06,2,3,manufacturing director,3,married,8339.32,21682.23,1,y,yes,20,4.0,2,parttime,1,17.0,2,3.0,17,,5,15,,1988,100071.84,,,no
52,yes,,2047.5,,1,,1,27,2,1,female,255.94,1,5,manager,4,married,16537.5,42997.5,1,y,no,15,3.0,4,fulltime,1,33.0,3,3.0,32,,6,9,,1971,198450.0,,,yes
36,no,,556.26,,4,life sciences,1,28,2,3,female,69.53,3,2,manufacturing director,2,single,4492.84,11681.39,9,y,yes,11,3.0,4,parttime,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,,,no
33,no,travel_rarely,556.26,,4,life sciences,1,29,28,2,male,69.53,3,2,laboratory technician,3,married,4492.84,11681.39,1,y,no,12,3.0,2,parttime,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,,,yes
34,no,non-travel,412.8,sales,3,life sciences,1,30,10,4,male,51.6,3,2,sales executive,3,,3334.17,8668.83,1,y,yes,14,3.0,3,parttime,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0,sales executive  -  sales,,yes
41,no,,1077.87,sales,1,,1,31,37,3,female,134.73,3,3,sales executive,3,divorced,8705.83,22635.17,0,y,no,13,3.0,4,fulltime,1,11.359610274579271,3,4.0,22,,13,5,8705.83,1982,104470.0,sales executive  -  sales,,yes
47,no,,1032.49,research & development,3,medical,1,32,25,1,male,129.06,3,3,healthcare representative,3,,8339.32,21682.23,2,y,no,23,4.0,2,parttime,0,25.0,3,3.0,17,,12,11,8339.32,1976,,healthcare representative  -  research & development,,yes
53,no,travel_rarely,1973.98,,3,,1,33,5,3,female,246.75,3,5,manager,3,,15943.72,41453.67,4,y,no,11,3.0,4,fulltime,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,,,yes
35,no,,556.26,,4,marketing,1,34,1,3,male,69.53,2,2,sales executive,1,single,4492.84,11681.39,0,y,no,14,,2,parttime,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,,,no
